ACTION;WORDNET;WN_OFFSET;VERBNET;FRAMENET;NPC
get diamond;take.v.04;v01214265;;410;0
get diamond cluster;take.v.04;v01214265;;410;0
get diamonds;take.v.04;v01214265;;410;0
get down;get_down.v.01;v01973486;;;0
get dragon;take.v.04;v01214265;;410;0
get dragon and paper;take.v.04;v01214265;;410;0
get drawing paper;take.v.04;v01214265;;410;0
get drill;take.v.04;v01214265;;410;0
get dumbells;take.v.04;v01214265;;410;0
get dynamite;take.v.04;v01214265;;410;0
get earth crystal;take.v.04;v01214265;;410;0
get egg;take.v.04;v01214265;;410;0
get eggs;take.v.04;v01214265;;410;0
get eight;take.v.04;v01214265;;410;0
get eight of wands;take.v.04;v01214265;;410;0
get ekmek;take.v.04;v01214265;;410;0
get electromagnet;take.v.04;v01214265;;410;0
get embers;take.v.04;v01214265;;410;0
get emerald;take.v.04;v01214265;;410;0
get emerald cluster;take.v.04;v01214265;;410;0
get envelope;take.v.04;v01214265;;410;0
get epic poem;take.v.04;v01214265;;410;0
get etching;take.v.04;v01214265;;410;0
get fan;take.v.04;v01214265;;410;0
get featureless rod;take.v.04;v01214265;;410;0
get fig;take.v.04;v01214265;;410;0
get figure;take.v.04;v01214265;;410;0
get figurine;take.v.04;v01214265;;410;0
get file;take.v.04;v01214265;;410;0
get film;take.v.04;v01214265;;410;0
get film and slide;take.v.04;v01214265;;410;0
get finch;take.v.04;v01214265;;410;0
get fire;take.v.04;v01214265;;410;0
get firestone;take.v.04;v01214265;;410;0
get firewood;take.v.04;v01214265;;410;0
get firework;take.v.04;v01214265;;410;0
get fish;take.v.04;v01214265;;410;0
get flag;take.v.04;v01214265;;410;0
get flash;take.v.04;v01214265;;410;0
get flashlight;take.v.04;v01214265;;410;0
get flask;take.v.04;v01214265;;410;0
get flint;take.v.04;v01214265;;410;0
get flippers;take.v.04;v01214265;;410;0
get flowerpot;take.v.04;v01214265;;410;0
get fluff;take.v.04;v01214265;;410;0
get flute;take.v.04;v01214265;;410;0
get food;take.v.04;v01214265;;410;0
get fork;take.v.04;v01214265;;410;0
get frog;take.v.04;v01214265;;410;0
get fruit;take.v.04;v01214265;;410;0
get garlic;take.v.04;v01214265;;410;0
get garter;take.v.04;v01214265;;410;0
get gas;take.v.04;v01214265;;410;0
get gear;take.v.04;v01214265;;410;0
get gem;take.v.04;v01214265;;410;0
get gigantic bowl;take.v.04;v01214265;;410;0
get glass;take.v.04;v01214265;;410;0
get glasses;take.v.04;v01214265;;410;0
get glider;take.v.04;v01214265;;410;0
get gloves;take.v.04;v01214265;;410;0
get gloves and crowbar;take.v.04;v01214265;;410;0
get gold;take.v.04;v01214265;;410;0
get gold leaf scroll;take.v.04;v01214265;;410;0
get gold locket;take.v.04;v01214265;;410;0
get golden chalice;take.v.04;v01214265;;410;0
get golden cluster;take.v.04;v01214265;;410;0
get gown;take.v.04;v01214265;;410;0
get grater;take.v.04;v01214265;;410;0
get green;take.v.04;v01214265;;410;0
get green card;take.v.04;v01214265;;410;0
get grimoire from box;take.v.04;v01214265;;410;0
get guano, scroll and amber vial;take.v.04;v01214265;;410;0
get gum;take.v.04;v01214265;;410;0
get gumball;take.v.04;v01214265;;410;0
get hammer;take.v.04;v01214265;;410;0
get hand;take.v.04;v01214265;;410;0
get hat;take.v.04;v01214265;;410;0
get head;take.v.04;v01214265;;410;0
get heart from boat;take.v.04;v01214265;;410;0
get homing;take.v.04;v01214265;;410;0
get honey;take.v.04;v01214265;;410;0
get hook;take.v.04;v01214265;;410;0
get horn;take.v.04;v01214265;;410;0
get husbandry;take.v.04;v01214265;;410;0
get hydrant;take.v.04;v01214265;;410;0
get hyrax;take.v.04;v01214265;;410;0
get implement;take.v.04;v01214265;;410;0
get improbability drive;take.v.04;v01214265;;410;0
get in basket;enter.v.01;v02016523;;;0
get in bucket;enter.v.01;v02016523;;;0
get in floor;enter.v.01;v02016523;;;0
get in forklift;enter.v.01;v02016523;;;0
get in golden machine;enter.v.01;v02016523;;;0
get in machine;enter.v.01;v02016523;;;0
get in web;enter.v.01;v02016523;;;0
get indigo card;take.v.04;v01214265;;410;0
get indigo vial;take.v.04;v01214265;;410;0
get interface;take.v.04;v01214265;;410;0
get invitation;take.v.04;v01214265;;410;0
get it;take.v.04;v01214265;;410;0
get jar;take.v.04;v01214265;;410;0
get jewellery box;take.v.04;v01214265;;410;0
get jewelry;take.v.04;v01214265;;410;0
get kappa;take.v.04;v01214265;;410;0
get key;take.v.04;v01214265;;410;0
get key, jewels and whistle;take.v.04;v01214265;;410;0
get keys;take.v.04;v01214265;;410;0
get kit;take.v.04;v01214265;;410;0
get kitchen card and upper card;take.v.04;v01214265;;410;0
get knapsack;take.v.04;v01214265;;410;0
get knife;take.v.04;v01214265;;410;0
get label;take.v.04;v01214265;;410;0
get ladder;take.v.04;v01214265;;410;0
get lamp;take.v.04;v01214265;;410;0
get lamp and sword;take.v.04;v01214265;;410;0
get lamp, glass and ampoule;take.v.04;v01214265;;410;0
get lantern;take.v.04;v01214265;;410;0
get large key;take.v.04;v01214265;;410;0
get laser;take.v.04;v01214265;;410;0
get leaflet;take.v.04;v01214265;;410;0
get lens;take.v.04;v01214265;;410;0
get letter opener;take.v.04;v01214265;;410;0
get line;take.v.04;v01214265;;410;0
get link;take.v.04;v01214265;;410;0
get locket;take.v.04;v01214265;;410;0
get lockpick;take.v.04;v01214265;;410;0
get long steel key;take.v.04;v01214265;;410;0
get luck;take.v.04;v01214265;;410;0
get lump;take.v.04;v01214265;;410;0
get lye;take.v.04;v01214265;;410;0
get mace;take.v.04;v01214265;;410;0
get magazine;take.v.04;v01214265;;410;0
get magic bean;take.v.04;v01214265;;410;0
get magic porridge pot;take.v.04;v01214265;;410;0
get maiden;take.v.04;v01214265;;410;0
get mail;take.v.04;v01214265;;410;0
get map;take.v.04;v01214265;;410;0
get mask;take.v.04;v01214265;;410;0
get match;take.v.04;v01214265;;410;0
get matchbook;take.v.04;v01214265;;410;0
get matchbox;take.v.04;v01214265;;410;0
get matches;take.v.04;v01214265;;410;0
get medicine bottle;take.v.04;v01214265;;410;0
get memo;take.v.04;v01214265;;410;0
get meter;take.v.04;v01214265;;410;0
get microphone;take.v.04;v01214265;;410;0
get milkbottle;take.v.04;v01214265;;410;0
get mine;take.v.04;v01214265;;410;0
get miniaturization card;take.v.04;v01214265;;410;0
get mirror;take.v.04;v01214265;;410;0
get mirror 1;take.v.04;v01214265;;410;0
get moss;take.v.04;v01214265;;410;0
get mousetrap;take.v.04;v01214265;;410;0
get mud;take.v.04;v01214265;;410;0
get mug;take.v.04;v01214265;;410;0
get nasty knife;take.v.04;v01214265;;410;0
get necklace;take.v.04;v01214265;;410;0
get needle;take.v.04;v01214265;;410;0
get net;take.v.04;v01214265;;410;0
get new battery;take.v.04;v01214265;;410;0
get newspaper;take.v.04;v01214265;;410;0
get note;take.v.04;v01214265;;410;0
get novel;take.v.04;v01214265;;410;0
get nugget;take.v.04;v01214265;;410;0
get oar;take.v.04;v01214265;;410;0
get off carpet;take.v.04;v01214265;;410;0
get off chair;take.v.04;v01214265;;410;0
get oil;take.v.04;v01214265;;410;0
get oil can;take.v.04;v01214265;;410;0
get on couch;hop_on.v.01;v01923414;;;0
get on horse;hop_on.v.01;v01923414;;;0
get opal;take.v.04;v01214265;;410;0
get opal cluster;take.v.04;v01214265;;410;0
get orange card;take.v.04;v01214265;;410;0
get orange vial;take.v.04;v01214265;;410;0
get orb;take.v.04;v01214265;;410;0
get out;take.v.04;v01214265;;410;0
get out of basket;exit.v.01;v02015598;;273;0
get out of bed;exit.v.01;v02015598;;273;0
get out of boat;exit.v.01;v02015598;;273;0
get out of bucket;exit.v.01;v02015598;;273;0
get out of bunk;exit.v.01;v02015598;;273;0
get out of cask;exit.v.01;v02015598;;273;0
get out of chair;exit.v.01;v02015598;;273;0
get out of cot;exit.v.01;v02015598;;273;0
get out of forklift;exit.v.01;v02015598;;273;0
get out of golden machine;exit.v.01;v02015598;;273;0
get out of long line;exit.v.01;v02015598;;273;0
get out of pentagram;exit.v.01;v02015598;;273;0
get out of web;exit.v.01;v02015598;;273;0
get ox;take.v.04;v01214265;;410;0
get pack;take.v.04;v01214265;;410;0
get package;take.v.04;v01214265;;410;0
get pacquet, paper and crayon;take.v.04;v01214265;;410;0
get paddle;take.v.04;v01214265;;410;0
get padlock;take.v.04;v01214265;;410;0
get page;take.v.04;v01214265;;410;0
get pages;take.v.04;v01214265;;410;0
get paint;take.v.04;v01214265;;410;0
get paintbrush;take.v.04;v01214265;;410;0
get painting;take.v.04;v01214265;;410;0
get pan;take.v.04;v01214265;;410;0
get paper;take.v.04;v01214265;;410;0
get parcel from cupboard;take.v.04;v01214265;;410;0
get particule;take.v.04;v01214265;;410;0
get passbook and room key;take.v.04;v01214265;;410;0
get pearl;take.v.04;v01214265;;410;0
get peg;take.v.04;v01214265;;410;0
get pencil;take.v.04;v01214265;;410;0
get pendant;take.v.04;v01214265;;410;0
get penguin;take.v.04;v01214265;;410;0
get pickaxe;take.v.04;v01214265;;410;0
get piece;take.v.04;v01214265;;410;0
get piece of paper and business card;take.v.04;v01214265;;410;0
get pile;take.v.04;v01214265;;410;0
get pillar;take.v.04;v01214265;;410;0
get pillow;take.v.04;v01214265;;410;0
get pistol;take.v.04;v01214265;;410;0
get pizza box;take.v.04;v01214265;;410;0
get plans;take.v.04;v01214265;;410;0
get pliers;take.v.04;v01214265;;410;0
get plotter;take.v.04;v01214265;;410;0
get poe;take.v.04;v01214265;;410;0
get poetry;take.v.04;v01214265;;410;0
get pole;take.v.04;v01214265;;410;0
get popcorn;take.v.04;v01214265;;410;0
get pork;take.v.04;v01214265;;410;0
get pork chops;take.v.04;v01214265;;410;0
get porridge oats;take.v.04;v01214265;;410;0
get portrait;take.v.04;v01214265;;410;0
get portrait and bills;take.v.04;v01214265;;410;0
get pot;take.v.04;v01214265;;410;0
get pots;take.v.04;v01214265;;410;0
get pouch;take.v.04;v01214265;;410;0
get printer;take.v.04;v01214265;;410;0
get pump;take.v.04;v01214265;;410;0
get pumpkin;take.v.04;v01214265;;410;0
get puzzle box;take.v.04;v01214265;;410;0
get puzzle box and flute;take.v.04;v01214265;;410;0
get pyramid;take.v.04;v01214265;;410;0
get rapier;take.v.04;v01214265;;410;0
get rasp;take.v.04;v01214265;;410;0
get real mirror;take.v.04;v01214265;;410;0
get red card;take.v.04;v01214265;;410;0
get red sphere;take.v.04;v01214265;;410;0
get red statuette;take.v.04;v01214265;;410;0
get red, blue and green cake;take.v.04;v01214265;;410;0
get relay;take.v.04;v01214265;;410;0
get remote control;take.v.04;v01214265;;410;0
get ring;take.v.04;v01214265;;410;0
get robe;take.v.04;v01214265;;410;0
get rock;take.v.04;v01214265;;410;0
get rod;take.v.04;v01214265;;410;0
get rod of fire;take.v.04;v01214265;;410;0
get rod of ice;take.v.04;v01214265;;410;0
get rod of life;take.v.04;v01214265;;410;0
get rod of returning;take.v.04;v01214265;;410;0
get rod of sacrifice;take.v.04;v01214265;;410;0
get rods from coffin;take.v.04;v01214265;;410;0
get rods from sack;take.v.04;v01214265;;410;0
get rope;take.v.04;v01214265;;410;0
get rose;take.v.04;v01214265;;410;0
get rubies;take.v.04;v01214265;;410;0
get ruby;take.v.04;v01214265;;410;0
get ruby cluster;take.v.04;v01214265;;410;0
get rug;take.v.04;v01214265;;410;0
get rusty key;take.v.04;v01214265;;410;0
get rusty knife;take.v.04;v01214265;;410;0
get sack;take.v.04;v01214265;;410;0
get safe;take.v.04;v01214265;;410;0
get salt;take.v.04;v01214265;;410;0
get sapphire;take.v.04;v01214265;;410;0
get sash;take.v.04;v01214265;;410;0
get satchel;take.v.04;v01214265;;410;0
get scalpel;take.v.04;v01214265;;410;0
get scarab;take.v.04;v01214265;;410;0
get scarf;take.v.04;v01214265;;410;0
get sceptre;take.v.04;v01214265;;410;0
get scraps;take.v.04;v01214265;;410;0
get screwdriver;take.v.04;v01214265;;410;0
get scroll;take.v.04;v01214265;;410;0
get secateurs;take.v.04;v01214265;;410;0
get sharp pick;take.v.04;v01214265;;410;0
get sharp stone;take.v.04;v01214265;;410;0
get shimmering scroll;take.v.04;v01214265;;410;0
get short poem;take.v.04;v01214265;;410;0
get shovel;take.v.04;v01214265;;410;0
get shredded scroll;take.v.04;v01214265;;410;0
get shuttle card;take.v.04;v01214265;;410;0
get silver;take.v.04;v01214265;;410;0
get silver chalice;take.v.04;v01214265;;410;0
get silver locket;take.v.04;v01214265;;410;0
get sketch;take.v.04;v01214265;;410;0
get skis;take.v.04;v01214265;;410;0
get skull;take.v.04;v01214265;;410;0
get slip of paper;take.v.04;v01214265;;410;0
get smelly scroll;take.v.04;v01214265;;410;0
get soap;take.v.04;v01214265;;410;0
get spar;take.v.04;v01214265;;410;0
get spectacles;take.v.04;v01214265;;410;0
get sphere;take.v.04;v01214265;;410;0
get spices;take.v.04;v01214265;;410;0
get spindle;take.v.04;v01214265;;410;0
get spoon;take.v.04;v01214265;;410;0
get spray;take.v.04;v01214265;;410;0
get sprig;take.v.04;v01214265;;410;0
get staff;take.v.04;v01214265;;410;0
get stained scroll;take.v.04;v01214265;;410;0
get stamp;take.v.04;v01214265;;410;0
get star;take.v.04;v01214265;;410;0
get steel key;take.v.04;v01214265;;410;0
get stethoscope;take.v.04;v01214265;;410;0
get stick;take.v.04;v01214265;;410;0
get stone;take.v.04;v01214265;;410;0
get string;take.v.04;v01214265;;410;0
get suit;take.v.04;v01214265;;410;0
get sword;take.v.04;v01214265;;410;0
get tablets;take.v.04;v01214265;;410;0
get tarot box;take.v.04;v01214265;;410;0
get tea;take.v.04;v01214265;;410;0
get teapot;take.v.04;v01214265;;410;0
get teapot, mat, letter opener, matchbook and paper;take.v.04;v01214265;;410;0
get teddy;take.v.04;v01214265;;410;0
get teleportation card and battery;take.v.04;v01214265;;410;0
get test;take.v.04;v01214265;;410;0
get ticket;take.v.04;v01214265;;410;0
get timber;take.v.04;v01214265;;410;0
get tin;take.v.04;v01214265;;410;0
get toaster;take.v.04;v01214265;;410;0
get tobacco,knife,pipe;take.v.04;v01214265;;410;0
get token;take.v.04;v01214265;;410;0
get toolkit;take.v.04;v01214265;;410;0
get tools;take.v.04;v01214265;;410;0
get topaz;take.v.04;v01214265;;410;0
get torch;take.v.04;v01214265;;410;0
get torn square;take.v.04;v01214265;;410;0
get towel;take.v.04;v01214265;;410;0
get tray;take.v.04;v01214265;;410;0
get treasure;take.v.04;v01214265;;410;0
get treatise;take.v.04;v01214265;;410;0
get trident;take.v.04;v01214265;;410;0
get trowel;take.v.04;v01214265;;410;0
get tube;take.v.04;v01214265;;410;0
get tweezers;take.v.04;v01214265;;410;0
get up;take.v.04;v01214265;;410;0
get vase;take.v.04;v01214265;;410;0
get vellum scroll;take.v.04;v01214265;;410;0
get vial;take.v.04;v01214265;;410;0
get vial, calendar and matchbook;take.v.04;v01214265;;410;0
get violet card;take.v.04;v01214265;;410;0
get violin, necklace, ruby, zorkmid, stamp, crown and dragon;take.v.04;v01214265;;410;0
get volume;take.v.04;v01214265;;410;0
get wallet;take.v.04;v01214265;;410;0
get wand;take.v.04;v01214265;;410;0
get watch;take.v.04;v01214265;;410;0
get water;take.v.04;v01214265;;410;0
get weeds with fork;take.v.04;v01214265;;410;0
get wet suit;take.v.04;v01214265;;410;0
get wheel;take.v.04;v01214265;;410;0
get whistle;take.v.04;v01214265;;410;0
get white;take.v.04;v01214265;;410;0
get wig;take.v.04;v01214265;;410;0
get wine;take.v.04;v01214265;;410;0
get wishbringer;take.v.04;v01214265;;410;0
get worm;take.v.04;v01214265;;410;0
get wrench;take.v.04;v01214265;;410;0
get wrought iron key;take.v.04;v01214265;;410;0
get x12;take.v.04;v01214265;;410;0
get x3, x4, x5, x6;take.v.04;v01214265;;410;0
get yellow;take.v.04;v01214265;;410;0
get yellow card;take.v.04;v01214265;;410;0
get zorkmid;take.v.04;v01214265;;410;0
give $56;give.v.03;v02199590;give-13.1-1;139;0
give alpha to apollonius;give.v.03;v02199590;give-13.1-1;139;0
give amulet to bum;give.v.03;v02199590;give-13.1-1;139;0
give bananas;give.v.03;v02199590;give-13.1-1;139;0
give bell;give.v.03;v02199590;give-13.1-1;139;0
give blue goblet to butler;give.v.03;v02199590;give-13.1-1;139;0
give bone to poodle;give.v.03;v02199590;give-13.1-1;139;0
give book to gnome;give.v.03;v02199590;give-13.1-1;139;0
give book to twin;give.v.03;v02199590;give-13.1-1;139;0
give box of chocolates to jemima;give.v.03;v02199590;give-13.1-1;139;0
give brain to timelord;give.v.03;v02199590;give-13.1-1;139;0
give bread to old man;give.v.03;v02199590;give-13.1-1;139;0
give candy to lizard;give.v.03;v02199590;give-13.1-1;139;0
give card to alan;give.v.03;v02199590;give-13.1-1;139;0
give card to woman;give.v.03;v02199590;give-13.1-1;139;0
give carton to hacker;give.v.03;v02199590;give-13.1-1;139;0
give case to harry;give.v.03;v02199590;give-13.1-1;139;0
give case to jenny;give.v.03;v02199590;give-13.1-1;139;0
give celery to barb;give.v.03;v02199590;give-13.1-1;139;0
give cereal to hermit;give.v.03;v02199590;give-13.1-1;139;0
give coin to bartender;give.v.03;v02199590;give-13.1-1;139;0
give coin to gnome;give.v.03;v02199590;give-13.1-1;139;0
give cola to britney;give.v.03;v02199590;give-13.1-1;139;0
give cola to guard;give.v.03;v02199590;give-13.1-1;139;0
give copy to male;give.v.03;v02199590;give-13.1-1;139;0
give corn to bird;give.v.03;v02199590;give-13.1-1;139;0
give drink to frank;give.v.03;v02199590;give-13.1-1;139;0
give eggs;give.v.03;v02199590;give-13.1-1;139;0
give ekmek to andromeda;give.v.03;v02199590;give-13.1-1;139;0
give encyclopedia to marion;give.v.03;v02199590;give-13.1-1;139;0
give envelope to woman;give.v.03;v02199590;give-13.1-1;139;0
give fish to grue;give.v.03;v02199590;give-13.1-1;139;0
give flask to bum;give.v.03;v02199590;give-13.1-1;139;0
give fluff to arthur;give.v.03;v02199590;give-13.1-1;139;0
give food to bear;give.v.03;v02199590;give-13.1-1;139;0
give form to barman;give.v.03;v02199590;give-13.1-1;139;0
give form to female;give.v.03;v02199590;give-13.1-1;139;0
give fragment to green rock;give.v.03;v02199590;give-13.1-1;139;0
give garnet to akbar;give.v.03;v02199590;give-13.1-1;139;0
give garter to papa;give.v.03;v02199590;give-13.1-1;139;0
give gloves to zombie;give.v.03;v02199590;give-13.1-1;139;0
give goggles to cheryl;give.v.03;v02199590;give-13.1-1;139;0
give gold key, portrait and bills to demon;give.v.03;v02199590;give-13.1-1;139;0
give gold locket to creature;give.v.03;v02199590;give-13.1-1;139;0
give gram to alicia;give.v.03;v02199590;give-13.1-1;139;0
give gram to andrea;give.v.03;v02199590;give-13.1-1;139;0
give gram to danielle;give.v.03;v02199590;give-13.1-1;139;0
give gram to ed;give.v.03;v02199590;give-13.1-1;139;0
give gram to jim;give.v.03;v02199590;give-13.1-1;139;0
give gram to meghan;give.v.03;v02199590;give-13.1-1;139;0
give gram to queenie;give.v.03;v02199590;give-13.1-1;139;0
give gram to silas;give.v.03;v02199590;give-13.1-1;139;0
give hairpin to mary;give.v.03;v02199590;give-13.1-1;139;0
give hat to pelican;give.v.03;v02199590;give-13.1-1;139;0
give headdress to shaman;give.v.03;v02199590;give-13.1-1;139;0
give it to girl;give.v.03;v02199590;give-13.1-1;139;0
give jewels to guard;give.v.03;v02199590;give-13.1-1;139;0
give kappa to callimachus;give.v.03;v02199590;give-13.1-1;139;0
give key to alan;give.v.03;v02199590;give-13.1-1;139;0
give lens to norbert;give.v.03;v02199590;give-13.1-1;139;0
give magazine to doc;give.v.03;v02199590;give-13.1-1;139;0
give magazine to madman;give.v.03;v02199590;give-13.1-1;139;0
give manual;give.v.03;v02199590;give-13.1-1;139;0
give match to man;give.v.03;v02199590;give-13.1-1;139;0
give mirror 1 to michael;give.v.03;v02199590;give-13.1-1;139;0
give money to hawker;give.v.03;v02199590;give-13.1-1;139;0
give mouse to fairy godmother;give.v.03;v02199590;give-13.1-1;139;0
give note to man;give.v.03;v02199590;give-13.1-1;139;0
give note to mr crisp;give.v.03;v02199590;give-13.1-1;139;0
give novel to alan;give.v.03;v02199590;give-13.1-1;139;0
give opal, ruby, sapphire and emerald to guard;give.v.03;v02199590;give-13.1-1;139;0
give pan to guard;give.v.03;v02199590;give-13.1-1;139;0
give paper to girl;give.v.03;v02199590;give-13.1-1;139;0
give paper to gnome;give.v.03;v02199590;give-13.1-1;139;0
give paper to professor;give.v.03;v02199590;give-13.1-1;139;0
give pass to reunite;give.v.03;v02199590;give-13.1-1;139;0
give pass to sleaze;give.v.03;v02199590;give-13.1-1;139;0
give pincer to marvin;give.v.03;v02199590;give-13.1-1;139;0
give pork chops to wolf;give.v.03;v02199590;give-13.1-1;139;0
give pork to crocodile;give.v.03;v02199590;give-13.1-1;139;0
give pork to wolf;give.v.03;v02199590;give-13.1-1;139;0
give pumpkin to fairy godmother;give.v.03;v02199590;give-13.1-1;139;0
give puzzle box to proprietor;give.v.03;v02199590;give-13.1-1;139;0
give rag to skier;give.v.03;v02199590;give-13.1-1;139;0
give ring to butler;give.v.03;v02199590;give-13.1-1;139;0
give rose to knight;give.v.03;v02199590;give-13.1-1;139;0
give safe to mark;give.v.03;v02199590;give-13.1-1;139;0
give shilling to wiggins;give.v.03;v02199590;give-13.1-1;139;0
give silver coin to oarsman;give.v.03;v02199590;give-13.1-1;139;0
give silver to barker;give.v.03;v02199590;give-13.1-1;139;0
give sushi to samurai;give.v.03;v02199590;give-13.1-1;139;0
give tablets to trent;give.v.03;v02199590;give-13.1-1;139;0
give teddy to woman;give.v.03;v02199590;give-13.1-1;139;0
give thumb to robot;give.v.03;v02199590;give-13.1-1;139;0
give ticket 2306 to barker;give.v.03;v02199590;give-13.1-1;139;0
give ticket 5802 to barker;give.v.03;v02199590;give-13.1-1;139;0
give ticket to rimshaw;give.v.03;v02199590;give-13.1-1;139;0
give torch to gnome;give.v.03;v02199590;give-13.1-1;139;0
give towel to arthur;give.v.03;v02199590;give-13.1-1;139;0
give toy to sydney;give.v.03;v02199590;give-13.1-1;139;0
give umbrella to girl;give.v.03;v02199590;give-13.1-1;139;0
give violin, necklace, ruby, stamp, zorkmid, crown and dragon to demon;give.v.03;v02199590;give-13.1-1;139;0
gloth dough;;;;;0
gnoeval;;;;;0
gnusto bekdab;;;;;0
gnusto caskly;;;;;0
gnusto cleesh spell;;;;;0
gnusto crumpled;;;;;0
gnusto egdelp;;;;;0
gnusto espnis;;;;;0
gnusto exex spell;;;;;0
gnusto feeyuk;;;;;0
gnusto fiznav;;;;;0
gnusto foblub;;;;;0
gnusto fweep spell;;;;;0
gnusto gaspar spell;;;;;0
gnusto gloth;;;;;0
gnusto gondar spell;;;;;0
gnusto huncho;;;;;0
gnusto krebf spell;;;;;0
gnusto ledak;;;;;0
gnusto liskon;;;;;0
gnusto luncho;;;;;0
gnusto malyon spell;;;;;0
gnusto meef spell;;;;;0
gnusto melbor spell;;;;;0
gnusto ozmoo spell;;;;;0
gnusto rezrov spell;;;;;0
gnusto scroll;;;;;0
gnusto shazok;;;;;0
gnusto shiny scroll;;;;;0
gnusto snavig;;;;;0
gnusto swanko;;;;;0
gnusto swanzo spell;;;;;0
gnusto taclor;;;;;0
gnusto throck;;;;;0
gnusto tinsot;;;;;0
gnusto tossio;;;;;0
gnusto vaxum spell;;;;;0
gnusto wigro;;;;;0
gnusto zemdor;;;;;0
gnusto zifmia spell;;;;;0
go chandelier;travel.v.01;v01835496;run-51.3.2;7;0
go ledge;travel.v.01;v01835496;run-51.3.2;7;0
go north;travel.v.01;v01835496;run-51.3.2;7;0
go panel;travel.v.01;v01835496;run-51.3.2;7;0
go stump;travel.v.01;v01835496;run-51.3.2;7;0
go through curtain;travel.v.01;v01835496;run-51.3.2;7;0
go through north wall;travel.v.01;v01835496;run-51.3.2;7;0
go through south wall;travel.v.01;v01835496;run-51.3.2;7;0
go to gnome;travel.v.01;v01835496;run-51.3.2;7;0
go to pig;travel.v.01;v01835496;run-51.3.2;7;0
go to statue;travel.v.01;v01835496;run-51.3.2;7;0
go to windy cave;travel.v.01;v01835496;run-51.3.2;7;0
go under wall;travel.v.01;v01835496;run-51.3.2;7;0
golmac me;;;;;0
gondar dragon;;;;;0
google it;google.v.01;v00648764;;;0
grab case;catch.n.09;138956;;410;0
grab rope;catch.n.09;138956;;410;0
greet gnome;greet.v.01;v00897241;judgement-33;;0
guard, hello;say.v.08;v00979870;say-37.7-1;6;0
guards, drop rifles;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
guncho krill;;;;;0
hack terminal;hack.v.06;526441;;;0
haggle with salesman;haggle.v.01;v02259547;correspond-36.1;;0
hammer scraps;hammer.v.01;v01416539;funnel-9.3-2-1,hit-18.1-1;;0
hang bucket on third peg;hang.v.02;v01481360;put_spatial-9.2-1,spatial_configuration-47.6,spray-9.7-1;62;0
hang it on hooks;hang.v.02;v01481360;put_spatial-9.2-1,spatial_configuration-47.6,spray-9.7-1;62;0
hear;hear.v.01;v02169702;see-30.1-1-1;70;0
hear the dark;hear.v.01;v02169702;see-30.1-1-1;70;0
heat blue paper over candles;heat.v.01;v00371264;cooking-45.3,other_cos-45.4;334;0
heat brown paper over;heat.v.01;v00371264;cooking-45.3,other_cos-45.4;334;0
heat yellow paper over candles;heat.v.01;v00371264;cooking-45.3,other_cos-45.4;334;0
hello;say.v.08;v00979870;say-37.7-1;6;0
hello sailor;say.v.08;v00979870;say-37.7-1;6;0
help midget;help.v.01;v02547586;;391;0
here kitty kitty;say.v.08;v00979870;say-37.7-1;6;0
hide behind president;hide.v.01;v02144835;concealment-16-1;;0
hide envelope under bunk;hide.v.01;v02144835;concealment-16-1;652;0
hide ring under seat;hide.v.01;v02144835;concealment-16-1;652;0
hide under bones;hide.v.01;v02144835;concealment-16-1;;0
hit board;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit box;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit bung with mace;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit comb;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit creature with hook;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit crulley with coffer;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit dog;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit dragon with sword;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit elf;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit floor with axe;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit icicle with umbrella;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit lamp;hit.v.03;v01400044;hit-18.1-1;112,424;0
hit plaster with pickaxe;hit.v.03;v01400044;hit-18.1-1;112,424;0
hold bar over crevice;hold.v.02;v01216670;hold-15.1-1;245;0
hold breath;hold.v.36;v00004492;;17;0
hold rope;hold.v.02;v01216670;hold-15.1-1;245;0
hole, e;sequence.n.02;n05044822;;2135;0
hole, n;sequence.n.02;n05044822;;2135;0
hole, s;sequence.n.02;n05044822;;2135;0
hole, w;sequence.n.02;n05044822;;2135;0
howl arac;howl.v.01;v01046932;manner_speaking-37.3,nonverbal_expression-40.2,sound_emission-43.2;39;0
huncho me;;;;;0
huncho vase;;;;;0
i;inventory.v.01;v02472495;;;0
idiot;say.v.08;v00979870;say-37.7-1;6;0
in;travel.v.01;v01835496;run-51.3.2;7;0
inflate pile;inflate.v.02;v00264034;other_cos-45.4;77;0
inhale helium;inhale.v.01;v01198779;;272;0
insert beam in niches;insert.v.01;v01421622;;62;0
insert blue card in slot;insert.v.01;v01421622;;62;0
insert capsule into reactor;insert.v.01;v01421622;;62;0
insert cube in opening;insert.v.01;v01421622;;62;0
